#separator:Tab
#html:true
#deck:🕉️ Sanskrit Vowel Sandhi (Splitting)
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
vowel_sandhi_split:dirgha:deva+ālaya	<center><big><big><big>देवालय</big></big></big></center>	<center><big><big><b>देव + आलय</b></big></big><br><big>devālaya → deva + ālaya</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:vidyā+artha	<center><big><big><big>विद्यार्थ</big></big></big></center>	<center><big><big><b>विद्या + अर्थ</b></big></big><br><big>vidyārtha → vidyā + artha</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:mahā+ātman	<center><big><big><big>महात्मन्</big></big></big></center>	<center><big><big><b>महा + आत्मन्</b></big></big><br><big>mahātman → mahā + ātman</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:dharma+artha	<center><big><big><big>धर्मार्थ</big></big></big></center>	<center><big><big><b>धर्म + अर्थ</b></big></big><br><big>dharmārtha → dharma + artha</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:ravi+indra	<center><big><big><big>रवीन्द्र</big></big></big></center>	<center><big><big><b>रवि + इन्द्र</b></big></big><br><big>ravīndra → ravi + indra</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:kavi+īśvara	<center><big><big><big>कवीश्वर</big></big></big></center>	<center><big><big><b>कवि + ईश्वर</b></big></big><br><big>kavīśvara → kavi + īśvara</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:guru+upadeśa	<center><big><big><big>गुरूपदेश</big></big></big></center>	<center><big><big><b>गुरु + उपदेश</b></big></big><br><big>gurūpadeśa → guru + upadeśa</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:dirgha:vadhū+utsava	<center><big><big><big>वधूत्सव</big></big></big></center>	<center><big><big><b>वधू + उत्सव</b></big></big><br><big>vadhūtsava → vadhū + utsava</big><br><br><b>Savarṇa-dīrgha sandhi (सवर्णदीर्घ)</b><br>Two like simple vowels coalesce into the corresponding long vowel (a+a→ā, i+i→ī, u+u→ū, ṛ+ṛ→ṝ).<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:guna:deva+indra	<center><big><big><big>देवेन्द्र</big></big></big></center>	<center><big><big><b>देव + इन्द्र</b></big></big><br><big>devendra → deva + indra</big><br><br><b>Guṇa sandhi (गुण)</b><br>a/ā followed by a dissimilar simple vowel becomes the guṇa vowel: +i/ī→e, +u/ū→o, +ṛ/ṝ→ar.<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:guna:gaṇa+īśa	<center><big><big><big>गणेश</big></big></big></center>	<center><big><big><b>गण + ईश</b></big></big><br><big>gaṇeśa → gaṇa + īśa</big><br><br><b>Guṇa sandhi (गुण)</b><br>a/ā followed by a dissimilar simple vowel becomes the guṇa vowel: +i/ī→e, +u/ū→o, +ṛ/ṝ→ar.<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:guna:mahā+indra	<center><big><big><big>महेन्द्र</big></big></big></center>	<center><big><big><b>महा + इन्द्र</b></big></big><br><big>mahendra → mahā + indra</big><br><br><b>Guṇa sandhi (गुण)</b><br>a/ā followed by a dissimilar simple vowel becomes the guṇa vowel: +i/ī→e, +u/ū→o, +ṛ/ṝ→ar.<br><small>(sandhi within a compound)</small></center>
vowel_sandhi_split:guna:sūrya+udaya	<center><big><big><big>सूर्योदय</big></big></big></center>	<center><big><big><b>सूर्य + उदय</b></big></big><br><big>sūryodaya → sūrya + udaya</big><br><br><b>Guṇa sandhi (गुण)</b><br>a/ā followed by a dissimilar simple vowel becomes the guṇa vowel: +i/ī→e, +u/ū→o, +ṛ/ṝ→ar.<br><small>(sandhi within a compound)</small></center>
